id;legal_name;trade_name;tax_id;party_type;email;phone;active;deleted_at
1;midst across trovão;falar;verdadeiroX;PERSON;"*|r\k@oy.#V5Tq&";(16) 50455-8942;true;2026-05-15T01:10:31
2;ver;liso how um;indeed garrafa arrum;PERSON;"q;e@84{.W[X";(15) 3172-4493;false;2026-05-15T02:54:18
3;pensar toward;yuck oval;lâmpada sweetly inde;PERSON;"!F@E}s.M";(72) 26051-2729;false;2026-05-15T14:34:23
4;senado;yet;patineteXXX;COMPANY;"\Q]2s@{/.YI";(26) 01388-4961;true;2026-05-15T16:40:09
5;indeciso;refogar through;oof terrestre;COMPANY;"%;UP@u#(0fj.lhu";+55 (05) 2749-9285;false;2026-05-15T21:21:01
6;dimly;lençol;kindheartedly pessim;COMPANY;"^ucL<^@+D.:}X";+55 (58) 0194-8077;false;2026-05-15T20:09:32
7;whoever;mmm médico;florescer bairro;COMPANY;"IcR@+a.y!e";(98) 9062-6247;true;2026-05-15T09:54:33
8;vento ganhar eek;up testar triangular;nor ovalXXX;COMPANY;",v-@_kYVcA.{";(15) 8300-3744;true;2026-05-15T12:27:46
9;since concerning descrever;aço;resfriar finally par;COMPANY;"hjckzn@3rNx.fSX";+55 (24) 8511-5893;true;2026-05-15T20:06:47
10;who crescer;and extrovertido toward;consequently;PERSON;"<w@[.$Ow.Q!M9";(89) 26934-8253;true;2026-05-15T08:09:27
11;indeciso quadro chato;indiferente;on along macio;COMPANY;"6V1y:G@Z;{.bZ.RkiC\~";(69) 67666-3477;false;2026-05-15T13:02:51
12;pish inasmuch;scarcely however;if phew bah;COMPANY;"s_CT@E.QXq]X";(41) 74813-0861;true;2026-05-15T09:35:42
13;unless inconsciente;yowza;barring yum língua;PERSON;"N4.<@NW.d'^k_";(93) 84647-2360;true;2026-05-15T21:22:51
14;redondo burro;whether leite;per derrubar;COMPANY;"vk@4.;Q^";(57) 63671-2248;true;2026-05-15T16:22:14
15;er er;innocently;roughly past;COMPANY;"X@b5'O1u.+.";(56) 8433-2529;true;2026-05-15T16:18:26
16;raio boldly aha;dedo;paceXXXXXXX;COMPANY;"{+L5@IsI`.%'G";(06) 0950-6426;true;2026-05-15T17:32:20
17;plus reunião empurrar;voltar simples;naturally madly wher;PERSON;"$G@r[N).2ZOr+\";(34) 4646-5412;false;2026-05-15T17:00:14
18;brr artístico;which morder;sólido doce till;COMPANY;"-o0_5~@>N.8";(63) 99804-7871;true;2026-05-15T01:24:17
19;fraco shyly yippee;festa sheepishly ralo;athwartXXXX;COMPANY;"\lh@o1.(d:";(34) 88646-2288;true;2026-05-15T11:27:18
20;corajoso;brightly why;anotar sólido per;COMPANY;"4:,@h.iO";(15) 4241-9062;false;2026-05-15T12:55:06
21;camisa;oddly;regarding neblina;COMPANY;"1Xz6'@/.jW_P7";+55 (35) 8199-8600;true;2026-05-15T09:07:27
22;yahoo wrongly perfectly;round normal lixeira;zowieXXXXXX;PERSON;"#1B2X@).LY";(59) 1320-6270;true;2026-05-15T09:59:27
23;zowie excluding aniversário;aw astride;next receber;COMPANY;"f~AZ@w.7";(59) 0103-1547;true;2026-05-15T08:38:02
24;upliftingly;incidentally investigar;barulhento the;COMPANY;"X@~E.:T<Pcl";+55 (81) 3657-8223;false;2026-05-15T08:53:39
25;boo obediently;for massa whenever;failing brinquedo;PERSON;"5D@4r/[.f,V";(65) 9958-4760;false;2026-05-15T08:47:39
26;líquido;ha;identificar so alegr;COMPANY;"*dq@U.|.=j";(70) 7789-2371;true;2026-05-15T09:11:36
27;revisar unto;acariciar once mandato;frightfully;COMPANY;"vy`b#l@RnUR*B.N1!G";(32) 5481-8477;true;2026-05-15T10:00:47
28;yowza woot;comunicar;indeed yuck;PERSON;"_\Vm7B@5^^)n1.Es?XZI";(69) 26186-7924;true;2026-05-15T09:06:14
29;naturally;even escrever;deliberately calcula;PERSON;"R.@T(_.']i8.";(88) 7754-6188;false;2026-05-15T02:50:59
30;which emprestar;regularly;mentirosoXX;PERSON;"Y@o0d)s.Gf";(99) 77957-6043;true;2026-05-15T19:48:16
