id;full_name;cpf;birth_date;email;phone;active;deleted_at
1;restfully yet sincero;anti ocupado p;2026-05-15;":@-1.a";+55 (55) 9903-0669;true;2026-05-15T06:11:07
2;cadeira;doubtfully shr;2026-05-15;"\dT5@QkZ.fes";(76) 87646-8928;true;2026-05-15T08:19:15
3;questioningly;loja knowingly;2026-05-14;"#@RiQUNj.Z";+55 (86) 5687-4316;false;2026-05-15T18:39:18
4;boo via encostar;pish forenenst;2026-05-15;"]{@G.ngOl6?";(65) 2830-9672;true;2026-05-14T23:21:42
5;destrutivo doubtfully onto;willfully vest;2026-05-15;"#A&3@N5/~.BmY";(15) 6349-9425;true;2026-05-15T04:27:24
6;horizonte;irritably pfft;2026-05-15;"ob/fn@cf]?z&.w\E";+55 (83) 0118-7385;false;2026-05-15T06:48:50
7;azedo estrela amargo;knowinglyXX;2026-05-15;"D@L[.[iF`w";(37) 8617-0615;true;2026-05-15T22:25:14
8;through;underneathX;2026-05-15;"}5n@d[.e[~";+55 (45) 2699-6725;true;2026-05-14T22:38:57
9;áspero;boohoo until a;2026-05-14;"X9W1_@$!.|9.Hp";(30) 96810-1838;false;2026-05-15T01:40:52
10;dedo;mal-educado;2026-05-15;"pID~@&O;Lp'.pv9G{%";(42) 5531-6771;true;2026-05-15T13:54:29
11;yahoo;wherever abnor;2026-05-15;")@~.6}.5gC";+55 (42) 0467-8665;true;2026-05-15T15:14:56
12;next;afirmar regar;2026-05-15;",h@96]X.br:E";+55 (22) 3399-3142;false;2026-05-15T07:36:27
13;hopelessly;aw feioXXXX;2026-05-15;"5@0r%7q%.L;o`";+55 (71) 6432-8793;false;2026-05-15T03:25:02
14;opaco festa;gracefullyX;2026-05-15;"I?Zr@9O.Xi:_";(49) 3047-8051;false;2026-05-15T06:56:36
15;inside pato;carelesslyX;2026-05-15;"lld:9H@JKq,^.fcnE+";+55 (26) 3123-9550;false;2026-05-15T04:28:51
16;duh yahoo;overXXXXXXX;2026-05-15;"P~#-@$XT6.82ST/";(53) 68673-7021;false;2026-05-15T21:52:25
17;escuro energetically engraçado;responsável in;2026-05-15;"_@[&p|[t.o84";+55 (70) 1773-6510;false;2026-05-15T04:05:11
18;ler celestial moto;enxergarXXX;2026-05-15;"2#Z'@&N.l";(13) 4137-9196;true;2026-05-15T01:05:02
19;científico meanwhile against;carefullyXX;2026-05-15;"ZcH@_OUK..i?";+55 (14) 4616-7901;true;2026-05-15T14:54:47
20;yowza cachoeira;past lestXX;2026-05-15;",#@zk!,.Kv#aU";(58) 28340-0117;true;2026-05-15T03:17:37
21;awkwardly;sombra mão mon;2026-05-15;"Hv@bM.sa-cFC";+55 (45) 6488-7184;false;2026-05-15T15:44:45
22;perfectly boohoo valiantly;abajurXXXXX;2026-05-15;"QU@6.x";+55 (76) 9824-9253;true;2026-05-15T10:46:06
23;furthermore deslogar um;pato an but;2026-05-15;"!_L&xu@\.c+!8Y";(14) 6577-4744;true;2026-05-15T15:53:55
24;um unha;científico dil;2026-05-15;"8adaG3@Rq..]H<";(64) 28322-6212;false;2026-05-15T02:18:28
25;gadzooks since who;rarely judgeme;2026-05-15;"LLm@'O>.#jsy";+55 (35) 3117-9761;false;2026-05-15T08:23:54
26;fritar dia;politely congr;2026-05-15;"L@C'Gu/.mOb)#";+55 (84) 6280-4125;false;2026-05-15T13:54:14
27;democracia if frantically;whoaXXXXXXX;2026-05-15;"#k:D/4@CLsV6Y.Hi+Kh";+55 (51) 8789-7727;true;2026-05-15T15:08:00
28;courageously dreamily;pão yum toX;2026-05-14;"`][qh9@EEN.z,T&";(12) 5109-0009;true;2026-05-15T21:46:14
29;finally;onceXXXXXXX;2026-05-15;"SZxR@y6Q.e";(52) 44859-9478;false;2026-05-15T05:44:00
30;introvertido instead;insatisfeito s;2026-05-15;"|(!@|P/w.G~b]&";(84) 5749-7320;true;2026-05-15T06:37:24
