id;legal_name;trade_name;tax_id;party_type;email;phone;active;deleted_at
1;innocently surprisingly;atirar prometer;whyXXXXXXXX;COMPANY;"PA%3@sP.g`v3";+55 (58) 0389-6555;false;2026-05-15T00:12:39
2;whose yearly;enxergar duvidar;after senha anenst;PERSON;"oU@&.,";+55 (39) 1555-9292;false;2026-05-15T10:48:56
3;categorizar médico borracha;irritably whoever fechado;easilyXXXXX;PERSON;"~@AT$*hu.qWB";+55 (33) 4978-1945;true;2026-05-15T15:20:58
4;enviar coelho about;than;perceber frio whoeve;PERSON;"(h6@$.+";(17) 6950-0723;false;2026-05-15T20:59:58
5;adventurously;excluding barato;leiXXXXXXXX;PERSON;"7@1zsM9C.9YK!yQ";(22) 6074-4228;false;2026-05-15T13:58:06
6;incidentally underneath wholly;bairro;nomear usually ack;PERSON;"3x$NE@<>k.v";(90) 8138-3481;false;2026-05-15T19:48:13
7;ick;into hence beneath;besidesXXXX;PERSON;"3]X5M@Kp).%i)_e";+55 (17) 6733-8325;false;2026-05-15T09:33:00
8;humano incidentally patiently;likewise though pensar;psstXXXXXXX;PERSON;",@9<2.8]PTm";+55 (29) 6242-9339;false;2026-05-15T02:04:32
9;senado huzzah;quarrelsomely underneath organizar;preocupadoX;COMPANY;"/?_@oa~.}tK";(52) 4573-9124;false;2026-05-15T03:16:54
10;powerfully intently;salada aha;hambúrguerX;PERSON;"X@g.&4G^RP";(03) 9463-8734;true;2026-05-15T00:05:15
11;duh commonly;burro;irritablyXX;PERSON;";-@B.;{\VQ";(61) 8891-4761;false;2026-05-15T09:01:11
12;gritar;hora;testarXXXXX;PERSON;"yo+5Y@X?.T:";(68) 72341-0788;true;2026-05-15T14:59:00
13;rosto whoa dia;blah perfil raio;almost times;PERSON;"om,tZ9@W5.Jik~6";+55 (55) 1326-1109;false;2026-05-15T02:09:35
14;gato too;whether;ouch norXXX;COMPANY;"Y@)[.l{kr";+55 (65) 2157-0407;false;2026-05-15T21:28:22
15;whoever;gah;acariciar esquentar ;PERSON;"{\b%9@H*.B";(66) 5014-2095;true;2026-05-15T16:52:39
16;professor destrutivo estojo;swiftly;senadoXXXXX;PERSON;">L@/Zk.(=";(75) 14660-3456;false;2026-05-15T04:39:02
17;hm reclamar;apagar;miserablyXX;PERSON;"B~EEHs@c7p3].vMD>~}";(60) 8918-0146;false;2026-05-15T07:01:56
18;oh;irresponsável papel;simplesXXXX;PERSON;"Ci:@?~T.39";(78) 7396-3825;false;2026-05-15T21:04:07
19;yum pish;whenever;inimigo aha opaco;PERSON;"UK@[i.XLx6sX";(20) 18520-3151;false;2026-05-15T20:14:21
20;on hmph oceano;because;awXXXXXXXXX;PERSON;"8*YJ0@CaqQO.qp+:";(26) 33986-2001;true;2026-05-15T10:21:37
21;cozinheiro;knottily through;ick driblar;PERSON;"7=OaJ?@8u._n";(54) 7136-6452;true;2026-05-15T02:26:28
22;coelho;joshingly;mysteriously desorga;COMPANY;"nps@-c3[5.N]";(68) 4334-6051;true;2026-05-15T10:47:22
23;legislar;worth hence respirar;beautifully willfull;COMPANY;"G@QjLUz.N";(44) 7109-8149;true;2026-05-15T19:53:20
24;once política ew;joyously envergonhar;while tossir encamin;COMPANY;"Kx&P@3.3(";(84) 71974-2758;false;2026-05-15T14:03:58
25;whoa melhorar;meh;novo heavily eek;PERSON;"Nt`d>H@O0}).4#a";(28) 9880-1760;false;2026-05-14T23:55:50
26;pé oh huzzah;save;whoaXXXXXXX;PERSON;"K3yX@2!F_QZ.f0t4r";(25) 01205-1197;false;2026-05-15T06:40:47
27;mid;empurrar beyond;unless claro;COMPANY;"c@mFC)4.7}xg";+55 (06) 8021-0360;true;2026-05-15T22:16:33
28;novo abaft modelar;busily molhado instantly;gah kookily utterly;PERSON;"WIs@9r:A.porlvE";+55 (03) 9919-3742;true;2026-05-15T11:24:14
29;validar;physically;rudely voto nadar;PERSON;"k#@*gY.7";+55 (94) 0180-0115;true;2026-05-15T10:17:56
30;chão resfriar;musculoso politely;up pfftXXXX;PERSON;"Ee9Y}@H&`k{.>_O";(37) 78355-1568;true;2026-05-15T16:41:15
